重力語,日本語訳？
やわらかいな毛,やわらかい毛
やわらかな毛,やわらかい毛
マンピップュー,マインゴーシュ
・ハー,ダーク
・ーヌ,ダガｰ
ベチールレート,スティレット
バラデッテベ,グラディウス
ファルブナン,ファルシオン
ブレツドー,ブレード
レツピヂー,レイピア
プミター,シミター
ベツレヤー,スレイヤー
バベタードソード,バスタードソード
ヘャベリン,ジャベリン
ベピヂー,スピアー
パツハ,パイク
ランベ,ランス
ノーフム,ギルザム
バレツブ,グレイブ
パーチブン,パルチザン
トラツ・ント,トライデント
ワーハンマー,ウォーハンマー
バベター,バスター
ナツフ,ナイフ
へュヂルヘルム,デュエルヘルム
ヘジュルヘルム,デュエルヘルム
リンピ,リンゴ
パップ,キャップ
ヌード,ガード
バハラー,バックラー
バクラー,バックラー
プルド,シールド
ミーラプルド,ミラーシールド
ビットンプャーツ,コットンシャツ
レーヘャのヘャパット,レザージャケット
レージャのジャケット,レザージャケット
ヂドベンチャーピューツ,アドベンチャースーツ
テードンメール,ウッドメイル
ロンバービート,ロングコート
ヂーマ,アーマー
メール,メイル
プレツト,プレート
プルハローブ,シルクローブ
ペパーピューラ,スケーピュラー
ホツント,セイントローブ
プルバローブ,シルバーローブ
タツージ,タイツ
プーフハルローベ,ドックローブ　（不明）
テデデッンバドレベ,ウエディングドレス
バップ,キャップ
丸い帽子　,サークルハット
マベハ,マスク
ピーバル,ゴーグル
フンバラベ,サングラス
？,水中メガネ
バラベ,メガネ
エルム,ヘルム
罵のハチマネ,ねこみみ
カータ,カッター
ニータ,カッター
ニード,カード
ツルノ,ツルギ
ニタナ,カタナ
ネックリス,ネックレス
ファルプナン,ファルシオン
オリデオコン？オリハルコン（英鯖。）
オークに牙,オークの牙
マフーラ,マフラー
ハローバ,クローバー
ツデローヘデームベドーン,イエロージェムストーン
ポリン,ポポリン
？？？,マミー
ペイヨン,フェイヨン
フェイヨン？これも重力語という噂がありました
モロコ,モロク
ボーテ,ボウ
ビンポヘートボーテ,コンポジットボウ
バレツトボーテ,グレートボウ
ハロベボーテ,クロスボウ
ヂルバレベト,アルバレスト
アックス,矢
銀の指輪,銀の矢
金も指輪,金の指輪
ハラッブ,クラブ
メツベ,メイス
ベマップャ,スマッシャー
フツレル,フレイル
モニンバベータ,モーニングスター
モニングスター,モーニングスター
ベタッフ,スタッフ
ヂーハワンド,アークワンド
スケレートン,スケルトン
ホネット,ホーネット
クリミ,クリｰミー
ロッーフロッグ,ロッダフロッグ
スケールボーン,スケルボーン
かにニッパ,かにのハサミ
蝶の羽の粉,蝶の鱗粉
ロッダフロッグ,ロッダフロッグカード
止めないハート,止まらないハート
古くて青い箱,古く青い箱
マツンピープュ,マインゴーシュ
ヂッハベ,アックス
ヂッハベ,矢
バトルヂッハベ,バトルアックス
ツーハンドヂッハベ,ツーハンドアックス
ニヌクナー,販売価格
フロスト・イバ,フロストダイバー
フンドル,サンダル
ピューヅ,シューズ
シューヅ,シューズ
ロブリー,ロザリー
グラーブ,グローブ
・ツヤ指輪,ダイヤモンドの指輪
赤いポプョン,赤いポーション
赤いポプチョン,赤いポーション
紅ポプチョン,紅ポーション
紅ョン,紅ポーション
黄診いポプチョン,黄色いポーション
白いポプチョン,白いポーション
診ポプチョン,グリーンポーション
化け物のトフ,化け物のエサ
ミルハ,ミルク
ニンヘン,ニンジン
緑診ハーブ,緑のハーブ
黄色ハーブ,黄色いハーブ
ハチの蜜,はちみつ
ハトの翼,蝿の羽
ブーパ,ブーケ
ポリング人形,ポリン人形
謀製人形,うさぎのぬいぐるみ
ベポヂ人形,スポア人形
赤い額子,赤い額縁
白い土,白い皿
ヌラベ玉,ビーダマ
まっ赤い宝石,真紅の宝石
紫診宝石,紫の宝石
空診宝石,空色の宝石
緑診宝石,緑色の宝石
ピンハ診宝石,ピンクの宝石
紅診宝石,紅色の宝石
赤い診宝石,赤い宝石
青い診宝石,青い宝石
黄診宝石,黄色い宝石
青緑診宝石,青緑色の宝石
白い色宝石,オパール
鳥の栄毛,鳥の羽毛
ホルー,セル
ハローバ,クローバー
きのこの豹子,きのこの胞子
古木の津,古木の露
ヌレット,ガレット
・の爪,狼の爪
紳物の茎,植物の茎
去来要請,取引要請
しおられないバラ,しおれないバラ
アーチャスケルトﾌﾌﾌﾌﾌﾌﾌ,アーチャースケルトン
スケルトンソルジﾌﾌﾌﾌﾌﾌﾌ,スケルトンソルジャー
エルダーウィロﾌﾌﾌﾌﾌﾌﾌ,エルダーウィロー
カプラ職ﾌﾌﾌﾌﾌﾌﾌ,カプラ職員（プロンテラ中央）
スティールチョンﾌﾌﾌﾌﾌﾌﾌ,スティールチョンチョン
ドッフルギャンガﾌﾌﾌﾌﾌﾌﾌﾌ,ドッペルゲンガー
カタシムリの皮,カタツムリの皮
ダブルストレーピング,ダブルストレイフィング
ファイヤボルト,ファイアーボルト
ネイパームビート,ナパームビート
コルドボルト,コールドボルト
サイトレシャ,サイトラッシャー
セイフティワール,セイフティウォール
カグマイア,クァグマイア
アンゼルス,エンジェラス
ワープポタル,ワープポータル
フーニューマ,ニューマ
プニューマ,ニューマ
アクアベネディックタ,アクアベネディクタ
シュプラギウム,サフラギウム
リザラックション,リザレクション
マニピカット,マグニフィカート
キリエエルレイソン,キリエエレイソン
ゼニ,ゼニー
エルニュム原石,エルニウム原石
penril（ペンリル）,fenrir（フェンリル）
ザック,ジャック
